id,series,date,category,area,lat,lon,depth_m,src,block,hazard_p,hazard_p_500m,shoal_model_m,complete_m,nearest_sounding_km,nearest_sounding_m,survey_year_500m,in_domain,map_safe,pct_hazard,pct_nearest,pct_sigma,n_safe_cells
166703,NW-C-3383-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.50387,-73.54545,10.5,desc,b0046_0038.npz,1.0,1.0,-0.2,-10.6,0.0,-10.6,2016,True,False,100.0,0.0,0.0,54
166704,NW-C-3384-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.5153,-73.54312,10.2,desc,b0046_0038.npz,1.0,1.0,6.4,-10.8,0.0,-10.8,2016,True,False,100.0,0.0,0.0,54
166705,NW-C-3385-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.51287,-73.54308,9.3,desc,b0046_0038.npz,1.0,1.0,3.7,-10.9,0.0,-10.9,2016,True,False,100.0,0.0,0.0,54
166706,NW-C-3386-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.50297,-73.54497,9.5,desc,b0046_0038.npz,1.0,1.0,1.5,-10.1,0.0,-10.1,2016,True,False,100.0,0.0,0.0,54
166707,NW-C-3387-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.50247,-73.5453,10.2,desc,b0046_0038.npz,1.0,1.0,1.5,-10.1,0.0,-10.1,2016,True,False,100.0,0.0,0.0,54
166708,NW-C-3388-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.5342,-73.53387,10.5,desc,b0046_0038.npz,0.98,1.0,-1.7,-11.2,0.0,-11.2,2016,True,False,100.0,0.0,0.0,54
166709,NW-C-3389-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.5125,-73.54338,10.4,desc,b0046_0038.npz,1.0,1.0,2.8,-10.6,0.0,-10.6,2016,True,False,100.0,0.0,0.0,54
166710,NW-C-3390-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.50908,-73.54362,9.8,desc,b0046_0038.npz,1.0,1.0,4.8,-10.5,0.0,-10.5,2016,True,False,100.0,0.0,0.0,54
166711,NW-C-3391-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.51497,-73.54275,9.9,desc,b0046_0038.npz,0.993,1.0,1.6,-10.5,0.0,-10.5,2016,True,False,100.0,0.0,0.0,54
166713,NW-C-3393-24,2024-12-10,Shallow Depth Reported,Port of Montreal Vicinity Port of Montreal,45.54517,-73.5308,9.6,desc,b0046_0038.npz,0.884,1.0,-3.2,-10.3,0.0,-10.3,2016,True,False,100.0,0.0,0.0,54
